Date,Open,High,Low,Close,Volume,Total Income From Operations,Net P/L After M.I & Associates,Basic EPS,EPS_TTM,Annualized_Sales,Annualized_Profit,Equity Share Capital,Reserves,Borrowings,Total,Avg_Assets,Cash from Operating Activity,Daily_PE,Total_Equity,Net_Margin,Asset_Turnover,Equity_Multiplier,DuPont_ROE,Debt_to_Equity,Earnings_Quality,Earnings_Yield
2020-03-23,376.31282924445475,397.22174078351725,362.29464286067446,365.3966369628906,50276954.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,5.405275694717316,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,18.500443945483113
2020-03-24,376.62070252521124,383.6061226600706,349.86299150015697,363.5733642578125,61057272.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,5.378304204997225,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,18.593221243804965
2020-03-25,364.87574495834104,410.81376390855485,357.67720424895873,405.7463684082031,47228042.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,6.002165213139099,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,16.660654355380625
2020-03-26,412.0687471848041,444.0833008932357,398.2873532998881,426.7499694824219,57043156.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,6.312869371041743,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,15.840657254642053
2020-03-27,447.51682439119236,468.2126182809355,413.0159337363424,428.3365173339844,55235936.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,6.336339013816336,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,15.781983852497602
2020-03-30,416.75730532049823,420.072420249184,392.13073727883244,393.8593444824219,39268444.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,5.826321663941151,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,17.163487663047444
2020-03-31,404.3492849888451,413.7263182768991,396.8666030278932,408.18536376953125,35211092.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,6.883395679081472,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,14.527713451646893
2020-04-01,409.10881994288405,409.10881994288405,388.3420059433593,392.9121398925781,29103504.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,6.6258370976825995,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,15.092432627867536
2020-04-03,399.23447692603287,399.70806468039353,383.60608103213127,385.42938232421875,34996280.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,6.499652315754111,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,15.38543834992775
2020-04-07,413.91576991550437,429.686239120886,400.3474668108766,424.3820495605469,60412638.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.1565269740395765,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,13.973258308499597
2020-04-08,416.7335819807689,447.54046196793706,410.17437373984075,420.9721984863281,56219352.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.099025269583948,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,14.08644091301575
2020-04-09,432.3856797751441,440.86291331760424,421.4931599122434,438.0924072265625,44457146.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.387730307361931,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,13.53595703139694
2020-04-13,442.33103680896863,448.3456080798709,419.6935441323949,424.02685546875,34158056.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.150537191715852,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,13.984963271829914
2020-04-15,440.673432462969,440.673432462969,399.2345014145974,408.84832763671875,57978752.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,6.894575508207736,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,14.504156184953477
2020-04-16,409.65343513282806,421.8246470213436,405.5095420028717,416.63885498046875,53854396.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.025950336938765,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,14.232950021615212
2020-04-17,433.33289387975543,435.7008331905738,420.1908307047137,431.1070251464844,55883462.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.269932970429753,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,13.755285008369015
2020-04-20,450.38202863591187,455.0942333496393,442.8046233171163,447.4694519042969,66232986.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.545859222669425,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,13.252301301828947
2020-04-21,438.0687158227306,442.3310060307355,430.0177232076101,436.4822082519531,33178006.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.360576867655197,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,13.585891676430009
2020-04-22,435.29826921581855,441.8574491550055,429.68623603919485,439.7736511230469,38289354.0,31795.05,7280.22,13.3,59.3,118553.84,,548.33,175810.38,1333041.45,1580830.43,1436818.0699999998,-16869.09,7.416081806459475,176358.71,0.2289733779314705,0.0825113787718441,8.96372189386053,0.16935078307438595,7.558693585363604,,13.484209399213892
